Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-7817	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-1392 // TAX-1423 // TAX-1639 // TAX-1280	TRANS-RXN-1533 // RXN-16648 // RXN-18039 // RXN-18013 // RXN-18014 // RXN-18038 // RXN-18037 // TRANS-RXN-316 // RXN-18036 // PGPPHOSPHA-RXN // PHOSPHAGLYPSYN-RXN // CDPDIGLYSYN-RXN // DIACYLGLYKIN-RXN // RXN-18035 // TRANS-RXN-315 // GLUC1PURIDYLTRANS-RXN // RXN-15117
PWY-5982	Noncarbon-Nutrients	Sulfoacetaldehyde-Degradation	TAX-2	TAX-207954 // TAX-258594	RXN-9592
PWY66-385	Nucleotide-Biosynthesis	Nucleotide-Biosynthesis	TAX-2759	TAX-9606 // TAX-4932	THYMIDYLATESYN-RXN // GLYOHMETRANS-RXN // DIHYDROFOLATEREDUCT-RXN
PWY-6826	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-2	TAX-176299 // TAX-358 // TAX-139 // TAX-235 // TAX-447 // TAX-446 // TAX-287 // TAX-208964 // TAX-382 // TAX-266834	2.7.8.24-RXN
TEICHOICACID-PWY	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-224308 // TAX-1590	RXN-18013 // RXN-18014 // RXN-18028 // 6.3.2.16-RXN // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN4-RXN // TEICHOICSYN8-RXN // TEICHOICSYN5-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-1281	Noncarbon-Nutrients	Sulfoacetaldehyde-Degradation	TAX-2	TAX-37919 // TAX-266 // TAX-56119 // ORG-5878 // ORG-5923 // ORG-5898 // ORG-5995	PHOSACETYLTRANS-RXN // RXN-2364
PWY4FS-3	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-33090	TAX-4039 // TAX-3847	RXN4FS-2 // RXN4FS-1 // 2.1.1.71-RXN // 2.7.7.57-RXN // 2.1.1.103-RXN
PWY-7816	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-1280	RXN-18027 // TRANS-RXN-314 // RXN-18020 // RXN-18014 // RXN-18013 // 6.1.1.13-RXN // 2.4.1.53-RXN // RXN-18008 // RXN-18007 // RXN-18006 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-8062	Noncarbon-Nutrients	Sulfoacetaldehyde-Degradation	TAX-2	TAX-1633202 // TAX-1630162 // TAX-35833 // TAX-36854 // TAX-1565 // TAX-207559 // TAX-1121445 // TAX-44742 // TAX-901 // TAX-42252 // TAX-881 // TAX-160799 // TAX-112903 // TAX-55504	ACETALD-DEHYDROG-RXN // RXN-20702 // RXN-20701
PWY-6825	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-4751 // TAX-33154 // TAX-2	TAX-435 // TAX-358 // TAX-9913 // TAX-224911 // TAX-375 // TAX-312252 // TAX-381 // TAX-10090 // TAX-10116 // TAX-384 // TAX-1063 // TAX-4932 // TAX-382 // TAX-542	RXN4FS-2 // 2.1.1.71-RXN // 2.1.1.17-RXN
PWY-7819	Cell-Structure-Biosynthesis	Teichoic-Acids-Biosynthesis	TAX-1239	TAX-224308	RXN-18061 // TRANS-RXN-321 // RXN-18060 // RXN-18059 // RXN-18058 // RXN-18057 // GLCNACPTRANS-RXN // 2.7.7.39-RXN // TEICHOICSYN3-RXN // TEICHOICSYN2-RXN // UDPGLCNACEPIM-RXN
PWY-7927	Noncarbon-Nutrients	Sulfide-Oxidation	TAX-40674	TAX-9606 // TAX-10116	RXN-16574 // FESGSHTHIO-RXN // RXN-19040 // RXN-19036 // SULFITE-OXIDASE-RXN
PWY-7470	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-2	TAX-340	2.3.1.23-RXN // RXN-15380
PWY-5285	Noncarbon-Nutrients // Energy-Metabolism	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfide-Oxidation	TAX-1224	TAX-76588 // TAX-920 // TAX-930 // TAX-921 // TAX-931	R17-RXN // RXN-20884 // RXN-16574 // FESGSHTHIO-RXN
PWY4FS-2	Lipid-Biosynthesis	PhosphatidylcholineBiosynthesis	TAX-33090	TAX-4039 // TAX-89585 // ORG-5993	RXN-5781 // 2.7.7.15-RXN // RXN-5642 // RXN-5643 // 2.1.1.103-RXN
PWY-6676	Super-Pathways // Noncarbon-Nutrients	Sulfide-Oxidation // Super-Pathways	TAX-191412 // TAX-72276 // TAX-1046	TAX-1049 // TAX-1097 // TAX-194439	PWY-7457 // PWY-5278 // PWY-6675 // P222-PWY
PWY-6799	Lipid-Biosynthesis	Fatty-Acid-Biosyn-Initiation	TAX-33090	TAX-3888 // ORG-5993	MALONYL-COA-ACP-TRANSACYL-RXN // RXN-12360 // RXN-12359 // RXN-12361
PWY-5852	Cofactor-Biosynthesis	Demethylmenaquinol-8-Biosynthesis	TAX-2	TAX-1351 // TAX-644 // TAX-585 // TAX-584 // TAX-548 // TAX-546 // TAX-554 // TAX-511145	DMK-RXN
PWY-5274	Noncarbon-Nutrients	Sulfide-Oxidation	TAX-2	TAX-1054 // TAX-1092 // TAX-1049 // ORG-5987	RXN-8156
PWY-5966-1	Lipid-Biosynthesis	Fatty-Acid-Biosyn-Initiation	TAX-33154	TAX-9606 // TAX-4932	RXN66-613 // RXN66-610 // ACETYL-COA-CARBOXYLTRANSFER-RXN
PWY-6262	Cofactor-Biosynthesis	Demethylmenaquinol-8-Biosynthesis	TAX-2157 // TAX-2	TAX-83555 // TAX-83557 // TAX-83556 // TAX-83560 // TAX-813 // TAX-174 // TAX-173 // TAX-1902 // TAX-100226 // TAX-274 // TAX-300852	RXN-22598 // RXN-22597
PWY-5335	Super-Pathways // Noncarbon-Nutrients	Sulfide-Oxidation // Super-Pathways	TAX-2	TAX-921	PWY-5276 // PWY-5285
PWY-4381	Lipid-Biosynthesis	Fatty-Acid-Biosyn-Initiation	TAX-33090 // TAX-2	TAX-3708 // TAX-35942 // TAX-511145 // TAX-83332 // TAX-3888 // TAX-208964 // ORG-5993	RXN0-5055 // 2.3.1.180-RXN // MALONYL-COA-ACP-TRANSACYL-RXN
PWY-5861	Super-Pathways // Cofactor-Biosynthesis	Demethylmenaquinol-8-Biosynthesis // Super-Pathways	TAX-2	TAX-644 // TAX-546 // TAX-548 // TAX-1351 // TAX-511145 // TAX-554 // TAX-584 // TAX-585	PWY-5852 // PWY-5837 // PWY-5783
P222-PWY	Noncarbon-Nutrients // Energy-Metabolism	CHEMOAUTOTROPHIC-ENERGY-METABOLISM // Sulfide-Oxidation	TAX-68336 // TAX-1117 // TAX-1224	TAX-1097 // TAX-920 // TAX-24 // TAX-1061 // TAX-266 // TAX-54310 // TAX-1092 // TAX-72020 // TAX-1049	R17-RXN
PWY66-429	Lipid-Biosynthesis	Fatty-Acid-Biosyn-Initiation	TAX-33208 // TAX-4751	TAX-9606 // TAX-4932	RXN-12359 // MALONYL-COA-ACP-TRANSACYL-RXN // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-2261	REACTIVE-OXYGEN-SPECIES-DEGRADATION	REACTIVE-OXYGEN-SPECIES-DEGRADATION	TAX-33682 // TAX-33090 // TAX-1117	TAX-3711 // TAX-3659 // TAX-3038 // TAX-3888 // TAX-4113 // TAX-3562 // ORG-5993 // ORG-5897	RXN-3523 // RXN-3522 // RXN-3521 // 1.8.5.1-RXN
PWY-5755	AROMATIC-COMPOUNDS-BIOSYN	4-Hydroxybenzoate-Biosynthesis	TAX-2157 // TAX-2	TAX-511145 // TAX-2190 // TAX-83332 // TAX-1148 // TAX-340	CHORPYRLY-RXN
PWY-5294	Super-Pathways // Noncarbon-Nutrients	Sulfide-Oxidation // Super-Pathways	TAX-1224	TAX-920	RXN-8174 // PWY-5285 // RXN-10851 // PWY-5276 // SULFUROX-PWY // FESULFOX-PWY // P222-PWY
FASYN-INITIAL-PWY	Super-Pathways // Lipid-Biosynthesis	Fatty-Acid-Biosyn-Initiation // Super-Pathways	TAX-33084 // TAX-33208 // TAX-4751 // TAX-2	TAX-511145	PWY-4381 // ACP-S-ACETYLTRANSFER-RXN // 3-OXOACYL-ACP-SYNTH-BASE-RXN
PWY-5754	AROMATIC-COMPOUNDS-BIOSYN	4-Hydroxybenzoate-Biosynthesis	TAX-2759	TAX-9606 // TAX-4932	RXN-19897 // RXN-8871 // HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // TYROSINE-AMINOTRANSFERASE-RXN // HYDROXYPHENYLPYRUVATE-REDUCTASE-RXN
PWY-6735	Carbohydrates-Degradation // Polymer-Degradation	Starch-Degradation	TAX-2157	TAX-91619	RXN-12188 // CYCLOMALTODEXTRINASE-RXN // RXN-12181
PWY-6657	Storage-Compounds-Biosynthesis	Storage-Compounds-Biosynthesis	TAX-2157 // TAX-2	TAX-287 // TAX-301 // TAX-303 // TAX-160488 // ORG-6169	RXN-7699 // RXN-11796 // RXN-11797
DETOX1-PWY	REACTIVE-OXYGEN-SPECIES-DEGRADATION	REACTIVE-OXYGEN-SPECIES-DEGRADATION	TAX-2759 // TAX-2	TAX-511145 // ORG-5993	CATAL-RXN // SUPEROX-DISMUT-RXN
PWY-6435	AROMATIC-COMPOUNDS-BIOSYN	4-Hydroxybenzoate-Biosynthesis	TAX-33090	TAX-34254	RXN-11246 // 3.1.2.23-RXN // RXN-11245 // RXN-11244 // 4-COUMARATE--COA-LIGASE-RXN
PWY-6731	Carbohydrates-Degradation // Polymer-Degradation	Starch-Degradation	TAX-2157	ORG-6178	PHOSPHOGLUCMUT-RXN // RXN-12181 // RXN-12171 // CYCLOMALTODEXTRINASE-RXN
PWY-7218	Super-Pathways // Storage-Compounds-Biosynthesis	Storage-Compounds-Biosynthesis // Super-Pathways	TAX-2	TAX-1488 // TAX-272562 // TAX-106590 // TAX-511145 // TAX-1148	PWY-101 // PYRUVDEH-RXN // PEPDEPHOS-RXN // 3PGAREARR-RXN // 2PGADEHYDRAT-RXN // CALVIN-PWY // PWY-7216
PWY-6431	AROMATIC-COMPOUNDS-BIOSYN	4-Hydroxybenzoate-Biosynthesis	TAX-33090	TAX-4039 // TAX-34254 // TAX-4113	HYDROXYBENZALDEHYDE-OXIDATION-NAD-RXN // RXN-8871
PWY-842	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // Starch-Degradation	TAX-4479	TAX-4513 // TAX-4530 // TAX-4577	RXN-15910 // RXN-15909 // RXN-15908
PWY-7216	Storage-Compounds-Biosynthesis	Storage-Compounds-Biosynthesis	TAX-2	TAX-1488 // TAX-272562 // TAX-106590 // TAX-511145	RXN-14251 // RXN-14255 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN-5901
PWY0-1507	Cofactor-Biosynthesis	BIOTIN-SYN	TAX-2182 // TAX-651137 // TAX-4751 // TAX-33090 // TAX-2	TAX-1237085 // TAX-1718 // TAX-511145 // TAX-381 // ORG-5993 // ORG-6005	RXN-17473 // RXN-17472 // DAPASYN-RXN // DETHIOBIOTIN-SYN-RXN
PWY-6724	Carbohydrates-Degradation // Polymer-Degradation // Glycan-Pathways	Glycan-Pathways // Starch-Degradation	TAX-33090	TAX-3055 // TAX-4113 // ORG-5993	RXN-12391 // RXN-12384 // RXN-12280 // RXN-12279 // RXN-12278 // RXN-12277 // RXN-12276 // RXN-12204 // RXN-12203
PWY-7052	Storage-Compounds-Biosynthesis	Storage-Compounds-Biosynthesis	TAX-2	TAX-103690 // TAX-62977 // TAX-113355 // TAX-1148 // TAX-197221	RXN-21711 // RXN-13440 // RXN-13439 // 3.4.15.6-RXN // 6.3.2.30-RXN // 6.3.2.29-RXN
BIOTIN-BIOSYNTHESIS-PWY	Super-Pathways // Cofactor-Biosynthesis	BIOTIN-SYN // Super-Pathways	TAX-2	TAX-511145 // TAX-401614 // TAX-71421 // TAX-85962 // TAX-93059	PWY0-1507 // PWY-6519
PWY-6737	Carbohydrates-Degradation // Polymer-Degradation	Starch-Degradation	TAX-2157	TAX-2261 // TAX-186497	PHOSPHOGLUCMUT-RXN // RXN-12193 // RXN-12171 // RXN-12190
PWY1-3	Storage-Compounds-Biosynthesis	Storage-Compounds-Biosynthesis	TAX-2157 // TAX-2	TAX-192 // TAX-170623 // TAX-354 // TAX-190650 // TAX-106590 // TAX-1179 // TAX-1063 // TAX-1894 // TAX-350	RXN-5901 // ACETYL-COA-ACETYLTRANSFER-RXN // RXN1-42
PWY-8128	Cofactor-Biosynthesis	BIOTIN-SYN	TAX-183963 // TAX-1117	TAX-1148	RXN-17473 // RXN-17472 // RXN1ZN3-10 // RXN-21309 // RXN-21307
PWY-5530	Carbohydrates-Biosynthesis	Sorbitol-Biosynthesis	TAX-1224	TAX-542	GLUCONOKIN-RXN // GLUCONOLACT-RXN // 1.1.99.28-RXN
PWY-5002	SECONDARY-METABOLITE-BIOSYNTHESIS	XANTHONE-SYN	TAX-58023	TAX-172057	RXN-7487 // RXN-7486 // RXN-7484 // 2.3.1.151-RXN // RXN-7488
PWY-7380	Cofactor-Biosynthesis	BIOTIN-SYN	TAX-68336 // TAX-1239	TAX-1423 // TAX-224308	RXN-17473 // RXN-17472 // RXN-14930 // DETHIOBIOTIN-SYN-RXN
PWY-6624	Other-biosynthesis	Salicylate-Glycosylation	TAX-4097 // TAX-35883 // ORG-5993	TAX-35883 // TAX-4097 // ORG-5993	RXN-11659
PWY-5001	SECONDARY-METABOLITE-BIOSYNTHESIS	XANTHONE-SYN	TAX-58023	TAX-36903 // TAX-140968 // TAX-55963	RXN-7485 // RXN-7483 // RXN-7482 // RXN-7481
PWY-7886		Macromolecule-Modification	TAX-2	TAX-71421 // TAX-1313	RXN-18687 // 2.7.7.15-RXN // CHOLINE-KINASE-RXN
PWY-5005	Super-Pathways // Cofactor-Biosynthesis	BIOTIN-SYN // Super-Pathways	TAX-2	TAX-1423 // TAX-224308 // TAX-1421 // TAX-405	PWY-7380 // PWY-6578
PWY-6623	Other-biosynthesis	Salicylate-Glycosylation	TAX-4058 // TAX-3617 // ORG-5993	TAX-4058 // TAX-3617 // ORG-5993	RXN-11705 // RXN-10446
PWY-13	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Super-Pathways // XANTHONE-SYN	TAX-58023	TAX-172057 // TAX-36903 // TAX-140968	PWY-5001 // PWY-5002
PWY-6621	Super-Pathways // Other-biosynthesis	Salicylate-Glycosylation // Super-Pathways	ORG-5993	ORG-5993	PWY-6762 // RXN-11704
PWY-5652	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-4751 // TAX-33208	TAX-9685 // TAX-9606	3.5.99.5-RXN // 2-KETO-ADIPATE-DEHYDROG-RXN // 2-AMINOMUCONATE-REDUCTASE-RXN // 1.2.1.32-RXN // AMINO-CARBOXYMUCONATE-SEMIALDEHYDE-RXN
PWY-6762	Other-biosynthesis	Salicylate-Glycosylation	TAX-3193	TAX-3708 // TAX-4097 // TAX-3689 // ORG-5993	RXN-11658
PWY-6021	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-1224 // TAX-4751	TAX-83263 // TAX-28210 // TAX-4911	RXN-9710 // RXN-9508
PWY-6640	AROMATIC-COMPOUNDS-DEGRADATION	Salicylate-Degradation	TAX-2	TAX-235278	GENTISATE-12-DIOXYGENASE-RXN // RXN-11741 // RXN-11740 // RXN-11739 // RXN-11113
PWY-7871	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-2	TAX-381666 // TAX-99287	RXN-18599 // RXN-18588 // RXN-18596
PWY-1121	Cell-Structure-Biosynthesis // Metabolic-Clusters	Metabolic-Clusters // PLANT-CELL-STRUCTURE	TAX-58023	TAX-4113 // ORG-5993	RXN-13734 // RXN-16418 // RXN-16389 // RXN-16398 // PALMITOYL-COA-HYDROLASE-RXN // RXN-16416 // RXN-16417 // RXN-16400 // RXN-9666 // RXN-12156 // RXN-12157 // RXN-12155 // 6.2.1.34-RXN // TYRAMINE-N-FERULOYLTRANSFERASE-RXN // RXN-1103 // CAFFEOYL-COA-O-METHYLTRANSFERASE-RXN // RXN-1126 // RXN-1104 // TRANS-CINNAMATE-4-MONOOXYGENASE-RXN // PHENYLALANINE-AMMONIA-LYASE-RXN
PWY-6636	AROMATIC-COMPOUNDS-DEGRADATION	Salicylate-Degradation	TAX-4751	TAX-1895941 // ORG-6162	RXN-11736
GLUCONSUPER-PWY	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-33154 // TAX-2	TAX-511145	GLUCONOKIN-RXN
PWY-7120	Cell-Structure-Biosynthesis // Metabolic-Clusters	Metabolic-Clusters // PLANT-CELL-STRUCTURE	TAX-58023	TAX-4113 // ORG-5993	RXN-10749
PWY-6224	AROMATIC-COMPOUNDS-DEGRADATION	Salicylate-Degradation	TAX-2	TAX-70356	RXN-10446
PWY-7874	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-2	TAX-71421 // TAX-218491 // TAX-381666	RXN-18588 // RXN-18595 // RXN-18592 // RXN-18590
PWY-7904	Nucleic-Acid-Processing	Nucleic-Acid-Processing	TAX-2157 // TAX-2	TAX-63363 // TAX-2261 // TAX-274	RXN-18770 // RXN-18457 // RXN-18456 // RXN-18455 // RXN0-308
PWY-6733	Cell-Structure-Biosynthesis // Metabolic-Clusters	Metabolic-Clusters // PLANT-CELL-STRUCTURE	TAX-3193	ORG-5993	RXN-16408 // RXN-16407 // RXN-16406 // RXN-16405 // RXN-16404 // RXN-16403 // RXN-9666 // RXN-9624 // PALMITOYL-COA-HYDROLASE-RXN // RXN-16400 // RXN-16399 // RXN-16398 // RXN-16402 // RXN-16401 // RXN-16389 // RXN-9627 // RXN-12186 // RXN-12184
PWY-6183	AROMATIC-COMPOUNDS-DEGRADATION	Salicylate-Degradation	TAX-4751 // TAX-2	TAX-46680 // TAX-395598 // TAX-5554 // ORG-5957 // ORG-5978	SALICYLATE-1-MONOOXYGENASE-RXN
PWY-301	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-1224	TAX-1076	R282-RXN // R281-RXN
PWY-1061	Glycan-Pathways // Carbohydrates-Biosynthesis // Cell-Structure-Biosynthesis	PRIMARY-CELL-WALL // Polysaccharides-Biosynthesis	TAX-3193	TAX-3847 // TAX-4097 // TAX-3888 // ORG-5993	RXN-2081 // 2.4.1.43-RXN
PWY-6665	AROMATIC-COMPOUNDS-BIOSYN	STILBENE-SYN	TAX-33090	TAX-29760	RXN-11896 // RXN-11895
PWY0-1313	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-33154 // TAX-2157 // TAX-2	TAX-106590 // TAX-511145 // TAX-2238 // TAX-183963 // TAX-62319 // TAX-2246 // TAX-2248 // TAX-9606 // TAX-40674 // TAX-4932	ACETATE--COA-LIGASE-RXN
GALACTITOLCAT-PWY	Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG	TAX-1224	TAX-90371 // TAX-511145	TRANS-RXN-161 // RXN-16992 // 1.1.1.251-RXN // TAGAALDOL-RXN // TAGAKIN-RXN
PWY0-1479	Nucleic-Acid-Processing	Nucleic-Acid-Processing	TAX-2	TAX-511145	RXN0-6485 // RXN0-6481 // RXN0-6483 // 3.1.26.5-RXN // RXN0-6484 // RXN0-6482 // RXN0-6480 // RXN0-4222 // RXN0-6479 // RXN0-6478
PWY-1001	Glycan-Pathways // Carbohydrates-Biosynthesis // Cell-Structure-Biosynthesis	PRIMARY-CELL-WALL // Polysaccharides-Biosynthesis // SECONDARY-CELL-WALL	TAX-2759 // TAX-2	TAX-511145 // ORG-5993	CELLULOSE-SYNTHASE-UDP-FORMING-RXN
PWY-6440	AMINE-DEG	SPERMINE-SPERMIDINE-DEG	TAX-33090	TAX-4577	RXN-6423 // RXN-10747 // RXN-6425 // RXN-6424 // RXN-6421
PWY-5177	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-33208 // TAX-4751 // TAX-2	TAX-9606 // TAX-303 // TAX-1076 // TAX-316277 // TAX-43774 // TAX-43775 // TAX-59405 // ORG-5962 // ORG-5970	RXN-11667 // RXN-11662 // ACETYL-COA-ACETYLTRANSFER-RXN // GLUTACONYL-COA-DECARBOXYLASE-RXN // GLUTARYL-COA-DEHYDROG-RXN
P562-PWY	CYCLITOLS-DEG	CYCLITOLS-DEG	TAX-4751 // TAX-2	TAX-565050 // TAX-224308 // TAX-1718 // TAX-548 // TAX-1582 // TAX-54550 // TAX-387 // TAX-380 // TAX-382	RXN-14150 // RXN-14149 // MYO-INOSOSE-2-DEHYDRATASE-RXN // MYO-INOSITOL-2-DEHYDROGENASE-RXN // RXN-2902 // 4.1.2.29-RXN // 5-DEHYDRO-2-DEOXYGLUCONOKINASE-RXN
PWY-5980	Glycan-Pathways // Carbohydrates-Biosynthesis // Cell-Structure-Biosynthesis	PRIMARY-CELL-WALL // Polysaccharides-Biosynthesis	TAX-33090	ORG-5993	RXN-9589
PWY-6117	AMINE-DEG	SPERMINE-SPERMIDINE-DEG	TAX-33154 // TAX-5794	TAX-9913 // TAX-10090 // TAX-9606	RXN-12091 // RXN-9015 // SPERMACTRAN-RXN // RXN-9940 // RXN-9939
PYRUVDEHYD-PWY	CARBOXYLATES-DEG // Energy-Metabolism	Acetyl-CoA-Biosynthesis // CARBOXYLATES-DEG	TAX-2157 // TAX-2759 // TAX-2	TAX-511145 // TAX-9606 // TAX-3888	RXN0-1134 // RXN0-1132 // RXN0-1133
PWY-6531	Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG	TAX-2870 // TAX-5794	TAX-5807 // TAX-2880 // TAX-5800 // TAX-5802 // TAX-5811 // TAX-508771 // TAX-383379	MANNPDEHYDROG-RXN // RXN-14515 // FRUCTOKINASE-RXN // MANNITOL-2-DEHYDROGENASE-RXN // MANNITOL-1-PHOSPHATASE-RXN
PWY-6829	Nucleic-Acid-Processing // Metabolic-Clusters	Metabolic-Clusters // Nucleic-Acid-Processing	TAX-2759	TAX-4932	RXN-23599 // RXN-14517 // RXN-12466 // RXN-12368 // RXN-12479 // RXN-12478 // RXN-12477 // RXN-12374 // RXN-12461 // RXN-11868 // RXN-11856 // RXN-11857 // RXN-11858 // RXN-11859 // RXN-12375 // RXN-12376
PWY-6383	Polyprenyl-Biosynthesis // Cofactor-Biosynthesis	Lipid-Anchor-Biosynthesis // Polyprenyl-Biosynthesis	TAX-1762	TAX-1773 // TAX-83332 // TAX-1772	RXN-11027 // IPPISOM-RXN // GPPSYN-RXN // 2.5.1.68-RXN // RXN-11023
PWY-6441	AMINE-DEG	SPERMINE-SPERMIDINE-DEG	TAX-33090	ORG-5993	RXN-9015 // RXN-12089
PWY-5749	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-33154 // TAX-2	TAX-294 // ORG-5967	CITRAMALYL-COA-LYASE-RXN // ITACONYL-COA-HYDRATASE-RXN // RXN-8988 // RXN-8987
PWY-7786	Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG	TAX-2	TAX-1772	ERYTHRULOSE-REDUCTASE-RXN // RXN-17762 // RXN-17761
PWY-5785	Polyprenyl-Biosynthesis // Cofactor-Biosynthesis	Lipid-Anchor-Biosynthesis // Polyprenyl-Biosynthesis	TAX-2	TAX-511145	UNDECAPRENYL-DIPHOSPHATASE-RXN // RXN-8999
SERDEG-PWY	Amino-Acid-Degradation	SERINE-DEG	TAX-4751 // TAX-33208 // TAX-2	TAX-511145 // TAX-9606	RXN-15127 // RXN-15124 // RXN-15125
PWY-7310	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-2	TAX-588858	RXN-14729 // RXN-14730 // KDPGALDOL-RXN
SORBDEG-PWY	Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG	TAX-2 // TAX-33090	TAX-511145 // TAX-1309 // TAX-1303 // TAX-197614 // TAX-1304 // TAX-1305	SORB6PDEHYDROG-RXN
PWY-7286	Nucleic-Acid-Processing	Nucleic-Acid-Processing	TAX-28890	TAX-2190 // TAX-29292 // TAX-53953	RXN-14517 // RXN-14516 // RXN-14518 // RXN-14519
PWY-7924	Polymer-Degradation	Rubber-Degradation	TAX-2	TAX-51 // TAX-184914 // TAX-80816 // TAX-33 // TAX-230757	RXN-19029
ACETATEUTIL-PWY	Super-Pathways // CARBOXYLATES-DEG	CARBOXYLATES-DEG // Super-Pathways	TAX-2 // TAX-2157	TAX-511145	PWY0-1312 // PWY0-1313
P461-PWY	Super-Pathways // Carbohydrates-Degradation // Alcohol-Degradation // Energy-Metabolism	Acetate-Formation // Fermentation-to-Lactate // Pyruvate-Ethanol-Fermentation // SUGAR-ALCOHOLS-DEG // Super-Pathways	TAX-1239	TAX-1335 // TAX-1302 // TAX-28037 // TAX-1309 // TAX-1304 // TAX-1305	PWY-5484 // MANNIDEG-PWY // SORBDEG-PWY // PWY-5480 // PWY-5485 // PWY-5481
PWY-7925	Polymer-Degradation	Rubber-Degradation	TAX-2	TAX-84595 // TAX-158898 // TAX-1829 // TAX-256642 // TAX-230757	RXN-19030
PWY-7873	CARBOXYLATES-DEG	Aldonate-Degradation	TAX-2	TAX-71421 // TAX-381666	RXN-18594 // RXN-18593 // RXN-18591 // RXN-18589
PWY-7241	CYCLITOLS-DEG	CYCLITOLS-DEG	TAX-2	TAX-2336	RXN-14362 // RXN-14360 // RXN-14359 // RXN-14358 // MYO-INOSITOL-2-DEHYDROGENASE-RXN
PWY-7888	Nucleic-Acid-Processing	Nucleic-Acid-Processing	TAX-2759	TAX-9606 // TAX-559292	RXN-23599 // RXN0-308 // RXN-18705 // RXN-18704 // RXN-18700 // RXN-18701 // RXN-18699 // RXN-12461
PWY-5412	SECONDARY-METABOLITE-BIOSYNTHESIS	Resin-Acids-Biosynthesis	TAX-3313	TAX-46611 // TAX-3329 // TAX-3352	RXN-8518 // RXN-8516 // RXN-8517 // RXN-8515 // RXN-8511 // RXN-4861
PWY-2361	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-201174 // TAX-4751 // TAX-1224	TAX-65741 // TAX-471 // TAX-196627 // TAX-303 // ORG-5953	RXN-3641 // 3-OXOADIPATE-COA-TRANSFERASE-RXN
PWY-7862	Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG	TAX-2	TAX-176299	GALACTITOL-2-DEHYDROGENASE-RXN // RXN-18477 // RXN-18478 // RXN-18474
PWY-5416	Super-Pathways // SECONDARY-METABOLITE-BIOSYNTHESIS	Resin-Acids-Biosynthesis // Super-Pathways	TAX-3313	TAX-46611 // TAX-3329 // TAX-3352	PWY-5422 // PWY-5421 // PWY-5412 // PWY-5414 // PWY-5413 // PWY-5411
PWY-8085	CARBOXYLATES-DEG	CARBOXYLATES-DEG	TAX-2	TAX-511	MALEATE-ISOMERASE-RXN // RXN-646 // RXN-11318 // 1.13.11.9-RXN // RXN-20885 // RXN-20886 // RXN-20887
HEXITOLDEGSUPER-PWY	Super-Pathways // Carbohydrates-Degradation // Alcohol-Degradation	SUGAR-ALCOHOLS-DEG // Super-Pathways	TAX-2763 // TAX-2	TAX-511145	PWY-5484 // GALACTITOLCAT-PWY // SORBDEG-PWY // MANNIDEG-PWY
