Pathway	Pathway-Type	Pathway-Class	Taxonomic-Range	Species	Reactions
PWY-8319	Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	TAX-2 // TAX-2157	TAX-511145 // TAX-85962	RXN-22957 // RXN-22956 // RXN-22655 // RXN-22650 // RXN-22649 // RXN-22648 // RXN-17943 // RXN0-6435 // RXN-22647 // RXN-22646
ASPARTATE-DEG1-PWY	Amino-Acid-Degradation	ASPARTATE-DEG	TAX-2759 // TAX-2157 // TAX-2	TAX-2252 // TAX-326442 // TAX-10116 // TAX-2287 // TAX-4932	ASPAMINOTRANS-RXN
PWY-6928	Super-Pathways // Fatty-Acid-and-Lipid-Degradation	Cholesterol-Degradation // Super-Pathways	TAX-2	TAX-43767 // TAX-685727 // TAX-101510 // TAX-1829 // TAX-441625 // TAX-74576	PWY-6945 // PWY-6944
PWY-7492	SECONDARY-METABOLITE-BIOSYNTHESIS	Toxin-Biosynthesis	TAX-4751	TAX-70109 // TAX-1292256	RXN-15498 // RXN-15496 // RXN-15497 // RXN-15495 // RXN-15494 // FARNESYLTRANSTRANSFERASE-RXN
PWY-5196	Tetrapyrrole-Biosynthesis // Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis // Porphyrin-Compounds-Biosynthesis	TAX-224756 // TAX-183939 // TAX-183925	TAX-183925 // TAX-2163 // TAX-183939 // TAX-224756 // TAX-2207 // TAX-188937 // TAX-2202 // TAX-145262 // TAX-2179	DIMETHUROPORDEHYDROG-RXN // RXN-8675 // UROPORIIIMETHYLTRANSA-RXN // RXN-8063 // RXN-8061 // RXN-8060 // RXN-8059
PWY-8294	Amino-Acid-Degradation	ASPARTATE-DEG	TAX-2	TAX-83333 // TAX-511145	GLUTAMINESYN-RXN // ASPARTASE-RXN // TRANS-RXN-106A
PWY-7981	Protein-Modification // Glycan-Pathways // Carbohydrates-Biosynthesis	Protein-Glycosylation	TAX-40674	TAX-9606	RXN-19406 // RXN-19405 // RXN-19404 // RXN-19400 // RXN-19401 // RXN-19402 // RXN-19403
PWY-8049	SECONDARY-METABOLITE-BIOSYNTHESIS	POLYKETIDE-SYN // Toxin-Biosynthesis	TAX-2	TAX-143687 // TAX-176282	RXN-20500 // RXN-20499 // RXN-20498 // RXN-20495 // RXN-20494 // RXN-20493 // RXN-20492 // RXN-20491 // RXN-20490 // RXN-20489 // RXN-20488 // RXN-20487 // RXN-20486 // RXN-20485
PWY-7928	Cofactor-Biosynthesis	Enzyme-Cofactor-Biosynthesis	TAX-2	TAX-1590	RXN-19042 // RXN-19049 // RXN-19048 // RXN-19047 // RXN-19045 // RXN-19044 // RXN-19043 // RXN-19051
PWY-8291	Amino-Acid-Degradation	ASPARTATE-DEG	TAX-2	TAX-511145 // TAX-83333	ASPARTASE-RXN // GLUTAMINESYN-RXN // TRANS-RXN-379
